package	load_name	status	version	library_dir	source_type	profile	message
abind	abind	OK	1.4.8	/usr/local/lib/R/site-library	existing_library	library	
ade4	ade4	OK	1.7.24	/usr/local/lib/R/site-library	existing_library	library	
afex	afex	OK	1.5.1	/usr/local/lib/R/site-library	cran;existing_library	core;library	
affy	affy	MISSING			existing_library	library	不存在叫‘affy’这个名称的程序包
affyio	affyio	MISSING			existing_library	library	不存在叫‘affyio’这个名称的程序包
ALDEx2	ALDEx2	MISSING			bioconductor;existing_library	full;library	不存在叫‘ALDEx2’这个名称的程序包
ANCOMBC	ANCOMBC	OK	2.14.0	/usr/local/lib/R/site-library	bioconductor;existing_library	core;library	
annotate	annotate	MISSING			existing_library	library	不存在叫‘annotate’这个名称的程序包
AnnotationDbi	AnnotationDbi	MISSING			existing_library	library	不存在叫‘AnnotationDbi’这个名称的程序包
AnnotationFilter	AnnotationFilter	MISSING			existing_library	library	不存在叫‘AnnotationFilter’这个名称的程序包
ape	ape	OK	5.8.1	/usr/local/lib/R/site-library	existing_library	library	
aplot	aplot	MISSING			existing_library;github	full;library	不存在叫‘aplot’这个名称的程序包
argparse	argparse	MISSING			cran;existing_library	full;library	不存在叫‘argparse’这个名称的程序包
askpass	askpass	OK	1.2.1	/usr/local/lib/R/site-library	existing_library	library	
assertthat	assertthat	MISSING			existing_library	library	不存在叫‘assertthat’这个名称的程序包
assorthead	assorthead	OK	1.6.3	/usr/local/lib/R/site-library	existing_library	library	
backports	backports	OK	1.5.1	/usr/local/lib/R/site-library	existing_library	library	
base	base	OK	4.6.0	/usr/lib/R/library	existing_library	library	
base64enc	base64enc	OK	0.1.6	/usr/local/lib/R/site-library	existing_library	library	
base64url	base64url	MISSING			existing_library	library	不存在叫‘base64url’这个名称的程序包
BayesFactor	BayesFactor	MISSING			existing_library	library	不存在叫‘BayesFactor’这个名称的程序包
bayesm	bayesm	MISSING			existing_library	library	不存在叫‘bayesm’这个名称的程序包
bayestestR	bayestestR	MISSING			existing_library	library	不存在叫‘bayestestR’这个名称的程序包
bbotk	bbotk	OK	1.10.0	/usr/local/lib/R/site-library	cran;existing_library	full;library	
beachmat	beachmat	OK	2.28.0	/usr/local/lib/R/site-library	existing_library	library	
